t(ms),x,y,z,dx,dy,dz,roll,pitch,yaw,d_roll,d_pitch,d_yaw
960,-0.41128106869051984,0.00809368469152416,-0.4727951291551312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,-0.4075734741968981,0.008100345034971607,-0.47278853021245054,0.057931163962839614,0.00010406786636638445,0.00010310847938545253,0.0,0.0,0.0,0.0,0.0,0.0
1088,-0.4001582659093071,0.0081137047720106,-0.4727752721942197,0.11586262949360975,0.0002087458912342706,0.00020715653485728347,0.0,0.0,0.0,0.0,0.0,0.0
1152,-0.3890354322373928,0.008133785827453095,-0.47275531899240697,0.17379427612366127,0.00031376649128896203,0.0003117687783237011,0.0,0.0,0.0,0.0,0.0,0.0
1216,-0.37420496636973477,0.008160599530189053,-0.47272864939040876,0.23172602918215596,0.0004189641052493406,0.0004167125312220035,0.0,0.0,0.0,0.0,0.0,0.0
1280,-0.3581386272959991,0.008189649063269898,-0.47269975405045644,0.25103654802711983,0.0004538989543882113,0.00045148968675478435,0.0,0.0,0.0,0.0,0.0,0.0
1344,-0.3420722430524048,0.008218784173125585,-0.47267071799021754,0.25103725380616077,0.0004552360914951035,0.00045368844123327284,0.0,0.0,0.0,0.0,0.0,0.0
1408,-0.32476994925324804,0.008250221808880746,-0.47263934295505594,0.27034834061182494,0.0004912130586743929,0.0004902349243999377,0.0,0.0,0.0,0.0,0.0,0.0
1472,-0.3055320838315413,0.0082816901537658,-0.47260791346025377,0.3005916472141667,0.0004916928888289683,0.0004910858562834006,0.0,0.0,0.0,0.0,0.0,0.0
1536,-0.28400185820596907,0.008313179533172075,-0.472576448147357,0.3364097753995666,0.000492021553223041,0.0004916455140125883,0.0,0.0,0.0,0.0,0.0,0.0
1600,-0.24970752353618883,0.008358197280713162,-0.47253144526813645,0.5358489792153162,0.0007034023053294787,0.0007031699878210299,0.0,0.0,0.0,0.0,0.0,0.0
1664,-0.21312083613549904,0.008403224646914394,-0.4724864270564141,0.5716669906357785,0.0007035525968942949,0.0007034095581620256,0.0,0.0,0.0,0.0,0.0,0.0
1728,-0.17147768476440978,0.008450510835463708,-0.47243914648148777,0.6506742401732695,0.0007388466960829912,0.0007387589832229258,0.0,0.0,0.0,0.0,0.0,0.0
1792,-0.12547774308116594,0.0085023060736769,-0.47238735466928794,0.7187490888006849,0.0008093005970811334,0.0008092470656233947,0.0,0.0,0.0,0.0,0.0,0.0
1856,-0.07747780394255402,0.008556356580635659,-0.47233330624166003,0.749999049040811,0.0008445391712306082,0.0008445066816855154,0.0,0.0,0.0,0.0,0.0,0.0
1920,-0.033477859736189663,0.008605904341546799,-0.4722837597345396,0.6874991282244433,0.0007741837642365754,0.0007741641737561006,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.01452207939356313,0.008659958116785983,-0.47222970670947584,0.7499990489023876,0.0008445902381122455,0.0008445785166219522,0.0,0.0,0.0,0.0,0.0,0.0
2048,0.05852202359408243,0.008709508068138142,-0.47218015720280293,0.6874991281331139,0.0007742179898774894,0.0007742110417636658,0.0,0.0,0.0,0.0,0.0,0.0
2112,0.09852197286615867,0.008754553905374945,-0.4721351116261559,0.6249992073761914,0.000703841206825057,0.0007038371351105258,0.0,0.0,0.0,0.0,0.0,0.0
2176,0.13652192467376714,0.008797347785318089,-0.47209231789674266,0.593749246993882,0.0006686543741115986,0.0006686520220811412,0.0,0.0,0.0,0.0,0.0,0.0
2240,0.17052188155379783,0.008835637226278215,-0.47205402854113493,0.53124932625048,0.0005982725150019592,0.0005982711813710268,0.0,0.0,0.0,0.0,0.0,0.0
2304,0.19852184604302303,0.008867169789611844,-0.47202249602500324,0.4374994451441435,0.0004926963020879607,0.0004926955645582348,0.0,0.0,0.0,0.0,0.0,0.0
2368,0.22927750669512834,0.00890320717365595,-0.4719864586661574,0.48055719768914534,0.0005630841256891851,0.0005630837319662782,0.0,0.0,0.0,0.0,0.0,0.0
2432,0.2577364671923371,0.008939244636592975,-0.47195042121596653,0.4446712577688867,0.0005630853583910164,0.0005630851592315286,0.0,0.0,0.0,0.0,0.0,0.0
2496,0.282664296789439,0.008973029800905242,-0.47191663605753237,0.3894973374547181,0.0005278931923791554,0.0005278931005336246,0.0,0.0,0.0,0.0,0.0,0.0
2560,0.3077642877173104,0.00901131970315997,-0.4718783461575048,0.39218735824799006,0.0005982797227301127,0.0005982796879317603,0.0,0.0,0.0,0.0,0.0,0.0
2624,0.33750529892666997,0.009060871385723496,-0.4718287944753336,0.4647033001462429,0.0007742450400550929,0.0007742450339255288,0.0,0.0,0.0,0.0,0.0,0.0
